id,man_id,model_name,is_car,is_moto,is_spec
590,25,A 140,TRUE,FALSE,FALSE
591,25,A 150,TRUE,FALSE,FALSE
592,25,A 160,TRUE,FALSE,FALSE
593,25,A 170,TRUE,FALSE,FALSE
594,25,A 180,TRUE,FALSE,FALSE
595,25,A 190,TRUE,FALSE,FALSE
596,25,A 200,TRUE,FALSE,FALSE
597,25,A 210,TRUE,FALSE,FALSE
1801,25,A 220,TRUE,FALSE,FALSE
1802,25,A 250,TRUE,FALSE,FALSE
1803,25,A 45 AMG,TRUE,FALSE,FALSE
2167,25,Actros,FALSE,FALSE,TRUE
13291,25,AMG 53,TRUE,FALSE,FALSE
1804,25,AMG GT,TRUE,FALSE,FALSE
17813,25,AMG GT 53,TRUE,FALSE,FALSE
4858,25,AMG GT C,TRUE,FALSE,FALSE
4859,25,AMG GT R,TRUE,FALSE,FALSE
1805,25,AMG GT S,TRUE,FALSE,FALSE
18289,25,Andecar,FALSE,FALSE,TRUE
6012,25,Antos,FALSE,FALSE,TRUE
6011,25,Arocs,FALSE,FALSE,TRUE
2225,25,Atego,FALSE,FALSE,TRUE
6014,25,Axor,FALSE,FALSE,TRUE
598,25,B 150,TRUE,FALSE,FALSE
599,25,B 170,TRUE,FALSE,FALSE
600,25,B 180,TRUE,FALSE,FALSE
601,25,B 200,TRUE,FALSE,FALSE
1806,25,B 220,TRUE,FALSE,FALSE
1807,25,B 250,TRUE,FALSE,FALSE
1808,25,B Electric Drive,TRUE,FALSE,FALSE
607,25,C 160,TRUE,FALSE,FALSE
608,25,C 180,TRUE,FALSE,FALSE
609,25,C 200,TRUE,FALSE,FALSE
12503,25,C 202,TRUE,FALSE,FALSE
610,25,C 220,TRUE,FALSE,FALSE
611,25,C 230,TRUE,FALSE,FALSE
612,25,C 240,TRUE,FALSE,FALSE
613,25,C 250,TRUE,FALSE,FALSE
614,25,C 270,TRUE,FALSE,FALSE
615,25,C 280,TRUE,FALSE,FALSE
602,25,C 30 AMG,TRUE,FALSE,FALSE
1591,25,C 300,TRUE,FALSE,FALSE
603,25,C 32 AMG,TRUE,FALSE,FALSE
616,25,C 320,TRUE,FALSE,FALSE
617,25,C 350,TRUE,FALSE,FALSE
604,25,C 36 AMG,TRUE,FALSE,FALSE
1757,25,C 400,TRUE,FALSE,FALSE
605,25,C 43 AMG,TRUE,FALSE,FALSE
1809,25,C 450 AMG,TRUE,FALSE,FALSE
606,25,C 55 AMG,TRUE,FALSE,FALSE
1630,25,C 63 AMG,TRUE,FALSE,FALSE
4342,25,Citan 108,TRUE,FALSE,FALSE
9846,25,Citan 109,TRUE,FALSE,FALSE
9850,25,Citan 110,TRUE,FALSE,FALSE
9854,25,Citan 111,TRUE,FALSE,FALSE
9858,25,Citan 112,TRUE,FALSE,FALSE
9862,25,Citan 113,TRUE,FALSE,FALSE
620,25,CL 180,TRUE,FALSE,FALSE
621,25,CL 200,TRUE,FALSE,FALSE
622,25,CL 220,TRUE,FALSE,FALSE
623,25,CL 230,TRUE,FALSE,FALSE
1810,25,CL 320,TRUE,FALSE,FALSE
624,25,CL 420,TRUE,FALSE,FALSE
625,25,CL 500,TRUE,FALSE,FALSE
618,25,CL 55 AMG,TRUE,FALSE,FALSE
1755,25,CL 550,TRUE,FALSE,FALSE
626,25,CL 600,TRUE,FALSE,FALSE
1811,25,CL 63 AMG,TRUE,FALSE,FALSE
619,25,CL 65 AMG,TRUE,FALSE,FALSE
1812,25,CLA 180,TRUE,FALSE,FALSE
1813,25,CLA 200,TRUE,FALSE,FALSE
1814,25,CLA 250,TRUE,FALSE,FALSE
1758,25,CLA 45 AMG,TRUE,FALSE,FALSE
9822,25,CLC 160,TRUE,FALSE,FALSE
9826,25,CLC 180,TRUE,FALSE,FALSE
9830,25,CLC 200,TRUE,FALSE,FALSE
9834,25,CLC 220,TRUE,FALSE,FALSE
9838,25,CLC 230,TRUE,FALSE,FALSE
9842,25,CLC 350,TRUE,FALSE,FALSE
17881,25,CLE 200,TRUE,FALSE,FALSE
17885,25,CLE 300 ,TRUE,FALSE,FALSE
17889,25,CLE 450,TRUE,FALSE,FALSE
629,25,CLK 200,TRUE,FALSE,FALSE
630,25,CLK 220,TRUE,FALSE,FALSE
631,25,CLK 230,TRUE,FALSE,FALSE
632,25,CLK 240,TRUE,FALSE,FALSE
633,25,CLK 270,TRUE,FALSE,FALSE
634,25,CLK 280,TRUE,FALSE,FALSE
635,25,CLK 320,TRUE,FALSE,FALSE
636,25,CLK 350,TRUE,FALSE,FALSE
637,25,CLK 430,TRUE,FALSE,FALSE
638,25,CLK 500,TRUE,FALSE,FALSE
627,25,CLK 55 AMG,TRUE,FALSE,FALSE
4939,25,CLK 550,TRUE,FALSE,FALSE
628,25,CLK 63 AMG,TRUE,FALSE,FALSE
641,25,CLS 320,TRUE,FALSE,FALSE
642,25,CLS 350,TRUE,FALSE,FALSE
17781,25,CLS 400,TRUE,FALSE,FALSE
